category,no.,model sentence
性別平等 Gender Equality,1-1,"Gender equality is when people of all genders have equal rights, responsibilities and opportunities."
性別平等 Gender Equality,1-2,"Gender equality is not only a fundamental human right, but a necessary foundation for a peaceful, prosperous and sustainable world."
性別平等 Gender Equality,1-3,"There has been progress over the last decades: More girls are going to school, fewer girls are forced into early marriage, more women are serving in parliament and positions of leadership, and laws are being reformed to advance gender equality."
性別平等 Gender Equality,1-4,"Despite these gains, many challenges remain: discriminatory laws and social norms remain pervasive, women continue to be underrepresented at all levels of political leadership, and 1 in 5 women and girls between the ages of 15 and 49 report experiencing physical or sexual violence by an intimate partner within a 12-month period."
性別平等 Gender Equality,1-5,"In 2017, a study conducted by the World Economic Forum (WEF) found that women have only 68 percent of the rights, opportunities and access to resources enjoyed by the world’s men."
性別平等 Gender Equality,1-6,"In 18 countries, husbands can legally prevent their wives from working; in 39 countries, daughters and sons do not have equal inheritance rights; and 49 countries lack laws protecting women from domestic violence."
性別平等 Gender Equality,1-7,"While women have made important inroads into political office across the world, their representation in national parliaments at 23.7 percent is still far from parity."
性別平等 Gender Equality,1-8,Pushing for equal wages for the same positions at work and sharing household chores at home can help promote gender equality.
性別平等 Gender Equality,1-9,"Household chores and children’s care are every adult’s responsibility, but still done mainly by women in much of the world. The overload of household chores can increase women’s chances of mental illnesses, besides depressing their productivity at work, consequently affecting their salaries."
性別平等 Gender Equality,1-10,Get some help and support if you know a friend or acquaintance is suffering from domestic violence or other abuse.
性別平等 Gender Equality,1-11,"Those responsible for children and teens need support in every society. Offering the bus seat to a pregnant woman, advocating the installation of children’s changing rooms in all bathrooms in shopping centers (not only in the women’s facilities) and asking that companies guarantee maternity and paternity leave are all necessary actions."
性別平等 Gender Equality,1-12,"Value, stimulate and hire diverse teams. Research showed that the more diverse the workforce is, the better the company’s performance on measures related to innovation is."
性別平等 Gender Equality,1-13,"It is important to observe and support companies that pay the same salary, benefits and bonuses to employees with equivalent positions."
性別平等 Gender Equality,1-14,"Employees must have a safe channel to report bullying, sexual harassment and racism without being exposed or dismissed."
人權 Human Rights,2-1,"Human rights are rights inherent to all human beings, regardless of race, sex, nationality, ethnicity, language, religion, or any other status."
人權 Human Rights,2-2,"Human rights include the right to life and liberty, freedom from slavery and torture, freedom of opinion and expression, the right to work and education, and many more."
人權 Human Rights,2-3,Human rights cover virtually every area of human activity.
人權 Human Rights,2-4,"They include civil and political rights, which refer to a person’s rights to take part in the civil and political life of their community without discrimination or oppression. These include rights and freedoms such as the right to vote, the right to privacy, freedom of speech and freedom from torture."
人權 Human Rights,2-5,"They also include economic, social and cultural rights, which relate to a person’s rights to prosper and grow and to take part in social and cultural activities. This group includes rights such as the right to health, the right to education and the right to work."
人權 Human Rights,2-6,"Everyone is entitled to these rights, without discrimination."
人權 Human Rights,2-7,Every person has dignity and value. One of the ways that we recognise the fundamental worth of every person is by acknowledging and respecting their human rights.
人權 Human Rights,2-8,Governments have a particular responsibility to ensure that people are able to enjoy their rights. They are required to establish and maintain laws and services that enable people to enjoy a life in which their rights are respected and protected.
環保 Environmental Protection,3-1,An environment is the natural surrounding or habitat which helps in existence or survival of life on planet earth.
環保 Environmental Protection,3-2,"The environment provides us with lots of natural resources like water, minerals, and natural vegetation which help in sustaining the life of humans, plants, and animals."
環保 Environmental Protection,3-3,We have to protect and conserve natural resources as they are essential for providing a greener and cleaner environment to living creatures.
環保 Environmental Protection,3-4,Protecting the environment is everyone's responsibility.
環保 Environmental Protection,3-5,"We are using up our natural resources and at the same time polluting our environment with dangerous chemicals. If we continue to do this, life on earth cannot survive."
環保 Environmental Protection,3-6,"Governments of many countries have established laws to protect the air, forests and sea resources and to stop environmental pollution."
環保 Environmental Protection,3-7,We have to limit the consumption of natural resources and should try to be dependent on renewable resources if we want to save the earth.
環保 Environmental Protection,3-8,We should stop using plastic or poly bags and be dependent on more eco-friendly products to save the environment.
環保 Environmental Protection,3-9,"We should conserve clean water by changing our habits in daily routine like putting a limitation on the use of water in cooking, bathing, cleaning, etc."
環保 Environmental Protection,3-10,We should use public transport like buses and metros or carpooling rather than self-driving for conserving oil.
環保 Environmental Protection,3-11,"The three R’s of waste management ‘Reduce, Reuse and Recycle’ conserve natural resources, eliminate waste and protect the environment."
環保 Environmental Protection,3-12,"As an ordinary citizen, we can form a group of volunteers to promote the concept of Reduce, Reuse and Recycle in society."
環保 Environmental Protection,3-13,"Government, as well as common people and NGOs, must join hands to save the environment."
環保 Environmental Protection,3-14,"Alternative resources like hydropower, solar power must be used instead of fossil fuel."
環保 Environmental Protection,3-15,Always buy recycled products for your houses and offices and never use plastic or polythene.
環保 Environmental Protection,3-16,Driving less and walking or cycling more will also help save the environment and revive it.
環保 Environmental Protection,3-17,Using organic fertilizers and saying no to chemical fertilizers and pesticides will save the environment.
環保 Environmental Protection,3-18,"Planting more trees and standing against deforestation, will also help save the environment."
環保 Environmental Protection,3-19,We have to save the environment for us as well as for future generations.
環保 Environmental Protection,3-20,"If everyone could make some contributions to environmental protection, our home will become much more beautiful."
海洋 Ocean,4-1,"The ocean, covering more than 70% of the Earth's surface, plays a crucial role in regulating the planet's climate and weather patterns."
海洋 Ocean,4-2,"Ocean resources, such as fish and marine plants, provide a significant source of food for millions of people worldwide."
海洋 Ocean,4-3,Sustainable fishing practices are essential to ensure the long-term availability of ocean resources and maintain the delicate marine ecosystem.
海洋 Ocean,4-4,"The ocean's biodiversity is incredibly diverse and contains countless species yet to be discovered, making it a treasure trove of potential scientific knowledge."
海洋 Ocean,4-5,"Coral reefs, often referred to as the ""rainforests of the sea,"" are vital habitats for numerous marine species and contribute significantly to coastal protection."
海洋 Ocean,4-6,"Oceans act as the Earth's largest carbon sink, absorbing and storing vast amounts of carbon dioxide, helping to mitigate the impacts of climate change."
海洋 Ocean,4-7,"Maintaining a healthy ocean ecosystem is crucial for supporting not just marine life, but also terrestrial life that depends on the ocean for survival."
海洋 Ocean,4-8,"Ocean currents play a pivotal role in distributing heat around the globe, influencing weather patterns and climate systems."
海洋 Ocean,4-9,"Plastic pollution poses a severe threat to marine life, with millions of tons of plastic waste entering the ocean each year."
海洋 Ocean,4-10,Initiatives aimed at reducing single-use plastic and promoting recycling are vital to preserving the health and cleanliness of our oceans.
海洋 Ocean,4-11,"Overfishing is depleting fish populations and disrupting the balance of marine ecosystems, emphasizing the need for sustainable fishing practices and fishery management."
海洋 Ocean,4-12,"The ocean is a vast reservoir of potential renewable energy sources, such as wave and tidal power, which could contribute to a cleaner and more sustainable future."
海洋 Ocean,4-13,Marine protected areas (MPAs) are essential for safeguarding marine biodiversity and preserving critical habitats from human impacts.
海洋 Ocean,4-14,"Sea level rise, a consequence of global warming, is putting coastal communities and valuable ecosystems at risk, necessitating urgent action to combat climate change."
海洋 Ocean,4-15,"The ocean provides immense recreational opportunities, including swimming, surfing, and scuba diving, which contribute to local economies through tourism."
海洋 Ocean,4-16,"Mangrove forests, found along many coastlines, play a crucial role in protecting shorelines from erosion, acting as a natural buffer against storms and tsunamis."
海洋 Ocean,4-17,"Ocean exploration and research are essential to deepen our understanding of marine ecosystems and uncover potential medical, technological, and scientific breakthroughs."
海洋 Ocean,4-18,"Climate change and rising sea temperatures are causing coral bleaching events, threatening the survival of coral reefs and the myriad of species that depend on them."
海洋 Ocean,4-19,"Coastal development and pollution are contributing to the degradation of ocean habitats, making it imperative to strike a balance between human needs and environmental preservation."
海洋 Ocean,4-20,Sustainable aquaculture practices offer a potential solution to meet the increasing global demand for seafood while minimizing negative impacts on wild fish populations.
海洋 Ocean,4-21,"The ocean's immense potential for renewable energy, such as offshore wind farms, presents an opportunity to transition to a more sustainable energy future."
海洋 Ocean,4-22,"International collaboration is crucial for addressing global ocean challenges, as issues like marine pollution and overfishing transcend national borders."
海洋 Ocean,4-23,Ocean literacy and education play a pivotal role in inspiring the next generation to become stewards of the sea and advocate for its preservation.
海洋 Ocean,4-24,"By understanding the significance of the ocean in our lives, we can foster a sense of responsibility and urgency to protect this invaluable resource for generations to come."
能源 Energy,5-1,"Energy is the driving force behind all natural processes and the foundation of human activities, powering our societies and economies."
能源 Energy,5-2,The transition to clean and renewable energy sources is critical to mitigate climate change and reduce our reliance on fossil fuels.
能源 Energy,5-3,"Renewable energy, such as solar, wind, hydro, and geothermal, provides sustainable alternatives to traditional fossil fuels."
能源 Energy,5-4,Energy efficiency measures are essential to optimize energy usage and reduce wastage in both residential and industrial settings.
能源 Energy,5-5,The increasing global demand for energy necessitates innovative technologies and solutions to meet our energy needs sustainably.
能源 Energy,5-6,Smart grid systems and energy storage technologies are crucial for balancing energy supply and demand in an ever-changing energy landscape.
能源 Energy,5-7,Energy conservation plays a vital role in reducing our ecological footprint and preserving natural resources for future generations.
能源 Energy,5-8,"The global energy transition presents both challenges and opportunities, with the potential to revolutionize how we generate and consume energy."
能源 Energy,5-9,Access to affordable and reliable energy is a fundamental human right and is essential for social and economic development.
能源 Energy,5-10,"Investments in renewable energy infrastructure can create jobs, stimulate economic growth, and foster sustainable development."
能源 Energy,5-11,Harnessing the potential of decentralized energy systems empowers communities and promotes energy resilience.
能源 Energy,5-12,Energy policies and regulations play a central role in shaping the future of our energy mix and guiding sustainable energy practices.
能源 Energy,5-13,"Clean energy technologies have become more cost-effective and competitive, making them increasingly viable alternatives to conventional energy sources."
能源 Energy,5-14,Developing countries face unique challenges in balancing energy needs while striving for sustainable development and energy equity.
能源 Energy,5-15,Energy education and awareness are crucial to promote responsible energy consumption and inspire individuals to adopt greener lifestyles.
能源 Energy,5-16,"Fossil fuels, while historically dominant energy sources, come with environmental consequences, necessitating a shift towards cleaner alternatives."
能源 Energy,5-17,"Sustainable development goals include ensuring access to affordable, reliable, sustainable, and modern energy for all."
能源 Energy,5-18,Energy innovation and research are essential to drive technological advancements and unlock the full potential of renewable energy sources.
能源 Energy,5-19,"Governments, businesses, and individuals must collaborate to address energy-related challenges and facilitate the global energy transition."
能源 Energy,5-20,"As the world's population continues to grow, finding sustainable solutions to meet rising energy demands becomes increasingly urgent."
資訊&科技 Info & Tech,6-1,"Technology has transformed every aspect of our lives, from communication and transportation to healthcare and education."
資訊&科技 Info & Tech,6-2,"Advancements in technology have revolutionized industries, leading to increased productivity and efficiency."
資訊&科技 Info & Tech,6-3,Embracing digital technology is essential for businesses to stay competitive in the modern global market.
資訊&科技 Info & Tech,6-4,The rapid pace of technological innovation poses both challenges and opportunities for societies worldwide.
資訊&科技 Info & Tech,6-5,"Technology has enabled greater connectivity and collaboration, breaking down barriers and fostering a more interconnected world."
資訊&科技 Info & Tech,6-6,The integration of artificial intelligence (AI) in various fields is reshaping industries and driving automation to new heights.
資訊&科技 Info & Tech,6-7,Cybersecurity measures are crucial to protect sensitive information and systems from growing cyber threats.
資訊&科技 Info & Tech,6-8,Technology education plays a pivotal role in preparing the workforce for jobs in an increasingly digital and automated world.
資訊&科技 Info & Tech,6-9,Bridging the digital divide is vital to ensure equal access to technology and opportunities for all members of society.
資訊&科技 Info & Tech,6-10,"The rise of the Internet of Things (IoT) has connected devices, allowing for seamless data exchange and smarter decision-making."
資訊&科技 Info & Tech,6-11,"Virtual reality (VR) and augmented reality (AR) technologies are transforming how we learn, entertain, and interact with the world."
資訊&科技 Info & Tech,6-12,"Technology can enhance personalized learning experiences, catering to individual students' needs and abilities."
資訊&科技 Info & Tech,6-13,"Ethical considerations are paramount as technology continues to advance, ensuring responsible and accountable use."
資訊&科技 Info & Tech,6-14,"Technology has played a critical role in disaster response and recovery efforts, aiding in communication and resource allocation."
資訊&科技 Info & Tech,6-15,"Blockchain technology has the potential to revolutionize industries by providing secure, transparent, and decentralized systems."
資訊&科技 Info & Tech,6-16,"The Internet has democratized access to information and knowledge, empowering individuals across the globe."
資訊&科技 Info & Tech,6-17,Embracing renewable energy technologies is crucial for a sustainable future and combating climate change.
資訊&科技 Info & Tech,6-18,"Technology enables remote work and telecommuting, providing greater work-life flexibility for employees."
資訊&科技 Info & Tech,6-19,"Artificial intelligence and machine learning are transforming data analysis, enabling data-driven decision-making in various sectors."
資訊&科技 Info & Tech,6-20,Ensuring equitable access to technology education is essential to bridge the digital skills gap and promote inclusivity.
資訊&科技 Info & Tech,6-21,"Technology empowers individuals to be more independent, enhancing the quality of life for people with disabilities."
資訊&科技 Info & Tech,6-22,"Privacy concerns arise as technology collects vast amounts of personal data, prompting the need for robust data protection measures."
資訊&科技 Info & Tech,6-23,Developing critical thinking and digital literacy skills is vital to navigate the vast amount of information available through technology.
資訊&科技 Info & Tech,6-24,"Technology has brought about significant improvements in healthcare, from telemedicine to medical imaging advancements."
資訊&科技 Info & Tech,6-25,Fostering a culture of innovation and creativity is essential to drive technological progress and address global challenges.
家庭教育 Family Education,7-1,"Family education is the foundation of a child's development, providing the first and most influential learning environment."
家庭教育 Family Education,7-2,"The quality of family education significantly impacts a child's social, emotional, and cognitive development during their formative years."
家庭教育 Family Education,7-3,"Parents play a vital role in nurturing their children's curiosity, creativity, and love for learning through family education."
家庭教育 Family Education,7-4,"Family education goes beyond formal schooling, instilling essential values, morals, and life skills that shape a person's character."
家庭教育 Family Education,7-5,"Effective family education fosters open communication and a strong bond within the family, promoting a supportive and loving environment."
家庭教育 Family Education,7-6,Parental involvement in a child's education positively correlates with academic achievement and overall well-being.
家庭教育 Family Education,7-7,Family education plays a critical role in transmitting cultural values and traditions from one generation to the next.
家庭教育 Family Education,7-8,"As children's first role models, parents' attitudes toward education influence their children's attitudes and motivation to learn."
家庭教育 Family Education,7-9,Encouraging a growth mindset in family education can empower children to embrace challenges and view failures as opportunities to learn and grow.
家庭教育 Family Education,7-10,"Family education helps create a safe space for children to express themselves, fostering emotional intelligence and resilience."
家庭教育 Family Education,7-11,Strong family relationships established through education can act as a protective factor against social issues such as substance abuse and delinquency.
家庭教育 Family Education,7-12,Balancing discipline and nurturing in family education is essential for raising responsible and compassionate individuals.
家庭教育 Family Education,7-13,Family education plays a crucial role in promoting gender equality and challenging stereotypes within the household.
家庭教育 Family Education,7-14,Parents who actively engage in their child's education are more likely to build a strong support network with teachers and schools.
家庭教育 Family Education,7-15,"Through family education, parents can encourage a love for reading and lifelong learning, laying the foundation for continuous personal growth."
家庭教育 Family Education,7-16,Family education that embraces diversity and inclusivity helps children develop empathy and respect for people from different backgrounds.
家庭教育 Family Education,7-17,Parental involvement in early childhood education sets the stage for better academic performance and social skills in later years.
家庭教育 Family Education,7-18,"The quality of family education has far-reaching effects, influencing not only individual success but also societal progress and well-being."
家庭教育 Family Education,7-19,Open communication and positive reinforcement in family education can build a child's self-esteem and self-confidence.
家庭教育 Family Education,7-20,"Family education can serve as a source of emotional support during challenging times, helping children navigate life's ups and downs."
家庭教育 Family Education,7-21,Teaching financial literacy and responsible money management in family education can foster financial security and independence in adulthood.
家庭教育 Family Education,7-22,"Family education is an ongoing process that continues to shape individuals throughout their lives, even after they leave the family home."
家庭教育 Family Education,7-23,Celebrating achievements and milestones in family education strengthens the parent-child bond and reinforces positive behavior.
家庭教育 Family Education,7-24,"A collaborative approach to family education involves active listening and respecting children's opinions, fostering a sense of empowerment."
家庭教育 Family Education,7-25,Promoting a culture of lifelong learning within the family encourages intellectual curiosity and a quest for knowledge throughout life.
生涯規劃 Career Planning,8-1,Career planning is a proactive process of setting goals and creating a roadmap for achieving professional success and fulfillment.
生涯規劃 Career Planning,8-2,Developing a well-thought-out career plan is crucial for individuals to make informed decisions and navigate their career path effectively.
生涯規劃 Career Planning,8-3,"Self-assessment is a fundamental step in career planning, involving evaluating one's strengths, interests, values, and skills."
生涯規劃 Career Planning,8-4,"A clear career vision helps individuals stay focused and motivated, guiding their efforts towards achieving their desired professional outcomes."
生涯規劃 Career Planning,8-5,"Continuous learning and skill development are essential components of effective career planning, as the job market evolves rapidly."
生涯規劃 Career Planning,8-6,"Networking and building professional connections play a significant role in career planning, opening doors to new opportunities."
生涯規劃 Career Planning,8-7,A flexible career plan allows individuals to adapt to unexpected changes and take advantage of emerging opportunities.
生涯規劃 Career Planning,8-8,Long-term and short-term career goals should align to create a cohesive career trajectory in the planning process.
生涯規劃 Career Planning,8-9,Seeking advice and guidance from mentors or career counselors can provide valuable insights and support in career planning.
生涯規劃 Career Planning,8-10,Researching industries and job markets can help individuals make informed decisions about potential career paths.
生涯規劃 Career Planning,8-11,Setting realistic and achievable milestones in a career plan allows for measurable progress and keeps individuals on track.
生涯規劃 Career Planning,8-12,Considering work-life balance and personal values is important in career planning to ensure job satisfaction and well-being.
生涯規劃 Career Planning,8-13,Developing a personal brand and online presence can enhance visibility and attract relevant opportunities in career planning.
生涯規劃 Career Planning,8-14,Career planning involves evaluating various career options and identifying potential obstacles to overcome.
生涯規劃 Career Planning,8-15,"A comprehensive assessment of financial implications is essential in career planning, especially when transitioning between fields or pursuing advanced education."
生涯規劃 Career Planning,8-16,Embracing continuous career development allows individuals to stay relevant and agile in a dynamic job market.
生涯規劃 Career Planning,8-17,Revisiting and updating a career plan periodically ensures that it remains aligned with evolving personal and professional aspirations.
生涯規劃 Career Planning,8-18,"Mentoring and guiding others can be a rewarding aspect of career planning, creating a sense of fulfillment and legacy."
生涯規劃 Career Planning,8-19,"Career planning is not limited to traditional paths; it can encompass entrepreneurship and freelancing, offering unique opportunities for personal growth."
生涯規劃 Career Planning,8-20,Balancing short-term career goals with long-term aspirations ensures a holistic approach to career planning.
生涯規劃 Career Planning,8-21,"Emphasizing the importance of soft skills, such as communication and leadership, in a career plan enhances professional effectiveness."
生涯規劃 Career Planning,8-22,Diversifying skill sets and exploring interdisciplinary opportunities can lead to exciting and unconventional career paths.
生涯規劃 Career Planning,8-23,Building resilience and adaptability in career planning prepares individuals to navigate challenges and setbacks with determination.
生涯規劃 Career Planning,8-24,Embracing a growth mindset in career planning allows individuals to view setbacks as learning experiences and opportunities for improvement.
生涯規劃 Career Planning,8-25,"Effective career planning is an ongoing process, empowering individuals to take charge of their professional journey and create a meaningful and fulfilling career."
原住民族教育 Indigenous Education,9-1,"Indigenous education refers to a culturally sensitive and inclusive approach to learning that respects and integrates indigenous knowledge, languages, and traditions."
原住民族教育 Indigenous Education,9-2,Recognizing and preserving indigenous languages in education is crucial for maintaining cultural identity and fostering intergenerational knowledge transfer.
原住民族教育 Indigenous Education,9-3,"Indigenous education promotes a holistic approach to learning, encompassing not only academic knowledge but also spiritual, cultural, and environmental aspects."
原住民族教育 Indigenous Education,9-4,"Inclusive and culturally responsive curricula are essential in indigenous education, reflecting the unique histories and perspectives of indigenous communities."
原住民族教育 Indigenous Education,9-5,Culturally appropriate teaching methods and materials are necessary to engage and empower indigenous learners in the education system.
原住民族教育 Indigenous Education,9-6,"Indigenous elders and community members play a vital role in indigenous education, serving as knowledge keepers and cultural guides for the younger generations."
原住民族教育 Indigenous Education,9-7,"Land-based education, which connects learning to the natural environment, is a significant component of indigenous education, instilling a deep appreciation for nature."
原住民族教育 Indigenous Education,9-8,Indigenous education seeks to dismantle systemic barriers and address historical injustices that have marginalized indigenous peoples in the education system.
原住民族教育 Indigenous Education,9-9,Collaborative partnerships between indigenous communities and educational institutions are essential for co-designing culturally relevant and effective education programs.
原住民族教育 Indigenous Education,9-10,"Traditional storytelling and oral history are integral to indigenous education, passing down wisdom, values, and cultural heritage through generations."
原住民族教育 Indigenous Education,9-11,Indigenous education emphasizes the importance of community involvement and collective responsibility for the education of its members.
原住民族教育 Indigenous Education,9-12,"Indigenous education fosters a sense of pride and resilience among indigenous students, empowering them to succeed academically and culturally."
原住民族教育 Indigenous Education,9-13,"Incorporating indigenous perspectives into the broader education system enriches the learning experience for all students, promoting cross-cultural understanding."
原住民族教育 Indigenous Education,9-14,"Indigenous education acknowledges and challenges stereotypes, promoting accurate representations of indigenous cultures and contributions."
原住民族教育 Indigenous Education,9-15,Bridging the digital divide is crucial in indigenous education to ensure equal access to technology and online learning resources.
原住民族教育 Indigenous Education,9-16,Culturally relevant assessment methods are necessary in indigenous education to fairly evaluate student progress and achievements.
原住民族教育 Indigenous Education,9-17,Indigenous education honors diverse learning styles and recognizes the significance of experiential and hands-on learning.
原住民族教育 Indigenous Education,9-18,Empowering indigenous youth through education is vital for strengthening indigenous communities and preserving their unique identities.
原住民族教育 Indigenous Education,9-19,Recognizing and addressing the historical trauma experienced by indigenous communities is a crucial aspect of trauma-informed indigenous education.
原住民族教育 Indigenous Education,9-20,Indigenous-led education initiatives and self-determination are essential for achieving meaningful and sustainable progress in indigenous education.
原住民族教育 Indigenous Education,9-21,"Indigenous education advocates for the inclusion of indigenous perspectives in research, contributing to a more comprehensive and accurate body of knowledge."
原住民族教育 Indigenous Education,9-22,Respecting indigenous cultural protocols and traditional practices in educational settings demonstrates a commitment to indigenous rights and reconciliation.
原住民族教育 Indigenous Education,9-23,Supporting indigenous educators and ensuring representation in the teaching profession is essential for enhancing indigenous education.
原住民族教育 Indigenous Education,9-24,"Indigenous education promotes intercultural dialogue and cooperation, fostering mutual respect and understanding between indigenous and non-indigenous communities."
原住民族教育 Indigenous Education,9-25,"By prioritizing indigenous education, societies can contribute to a more equitable and just world, where indigenous knowledge and contributions are recognized and celebrated."
多元文化 Multiculturalism,10-1,"Multiculturalism refers to the coexistence of diverse cultural, ethnic, and religious groups within a single society."
多元文化 Multiculturalism,10-2,"Embracing multiculturalism promotes respect, understanding, and appreciation for different cultural backgrounds and traditions."
多元文化 Multiculturalism,10-3,"Multicultural societies benefit from a rich tapestry of ideas, perspectives, and experiences, fostering creativity and innovation."
多元文化 Multiculturalism,10-4,Cultural diversity enhances social cohesion by creating opportunities for cross-cultural interactions and meaningful connections.
多元文化 Multiculturalism,10-5,"Multiculturalism challenges stereotypes and prejudices, promoting tolerance and empathy among individuals from different cultural backgrounds."
多元文化 Multiculturalism,10-6,"Multicultural education plays a crucial role in raising awareness about diverse cultures and histories, fostering a more inclusive and equitable society."
多元文化 Multiculturalism,10-7,"Multiculturalism celebrates the contributions and achievements of all cultural groups, acknowledging their unique heritage and talents."
多元文化 Multiculturalism,10-8,Multilingualism in multicultural societies can bridge communication gaps and facilitate intercultural understanding.
多元文化 Multiculturalism,10-9,Multicultural policies and initiatives are essential for promoting equal opportunities and social integration for all members of society.
多元文化 Multiculturalism,10-10,"The promotion of multiculturalism helps combat discrimination and promotes social justice, ensuring that no group feels marginalized or excluded."
多元文化 Multiculturalism,10-11,Multiculturalism encourages individuals to value their own cultural identity while also embracing and respecting others' identities.
多元文化 Multiculturalism,10-12,The celebration of multicultural festivals and events fosters a sense of unity and shared values among diverse communities.
多元文化 Multiculturalism,10-13,"Multiculturalism enriches the arts, literature, and cuisine, offering a diverse range of cultural expressions for people to enjoy and learn from."
多元文化 Multiculturalism,10-14,"Cultivating intercultural competence is essential in multicultural societies, enabling effective communication and cooperation between individuals from different backgrounds."
多元文化 Multiculturalism,10-15,"Multicultural societies can become more resilient and adaptable in a globalized world, drawing on the strengths and knowledge of various cultures."
多元文化 Multiculturalism,10-16,"Immigrants and refugees can find a sense of belonging and support in multicultural societies, easing their integration into the new environment."
